station_code,station_full_name,station_zone
ACRN,ACHIRNE,KR
ADVI,ADAVALI,KR
ANKL,ANKOLA,KR
ANO,ANJANI,KR
APTA,APTA,CR
AT,ASNOTI,KR
AVRD,ARAVALI ROAD,KR
BDTS,BANDRA TERMINUS,WR
BIJR,BIJOOR,KR
BKJ,BARKUR,KR
BLLI,BALLI,KR
BOKE,BHOKE,KR
BTJL,BHATKAL,KR
BVI,BORIVALI,WR
BYNR,MOOKAMBIKA ROAD,KR
CHI,CHIPLUN,KR
CNO,CANCONA,KR
CSMT,C SHIVAJI TERM MUMBAI,CR
CTTP,CHITRAPUR,KR
DR,DADAR,CR
DWV,DIWANKHAVATI,KR
GNO,GOREGAON ROAD,KR
GOK,GOKARNA ROAD,KR
HAA,HARWADA,KR
HNA,HONNAVAR,KR
INJ,INNANJE,KR
INP,INDAPUR,KR
KAWR,KARWAR,KR
KDVI,KADAVAI,KR
KFD,KARANJADI,KR
KHED,KHED,KR
KKW,KANKAVALI,KR
KLBN,KALAMBANI BUDRUK,KR
KMAH,KAMATHE,KR
KOL,KOLAD,KR
KRMI,KARMALI,KR
KRPN,KHAREPATAN ROAD,KR
KT,KUMTA,KR
KUDA,KUNDAPURA,KR
KUDL,KUDAL,KR
KYN,KALYAN JN,CR
LOL,LOLIEM,KR
MADR,MADURE,KR
MAJN,MANGALORE JN,SR
MANK,MANKI,KR
MAO,MADGAON,KR
MAQ,MANGALORE CNTL,SR
MJO,MAJORDA,KR
MMCT,MUMBAI CENTRAL,WR
MNI,MANGAON,KR
MRDW,MURDESHWAR,KR
MRJN,MIRJAN,KR
MULK,MULKI,KR
NAN,NANDGAON ROAD,KR
NAND,NANDIKOOR,KR
NIV,NIVASAR,KR
PDD,PADUBIDRI,KR
PEN,PEN,CR
PERN,PERNEM,KR
PNVL,PANVEL,CR
RAJP,RAJAPUR ROAD,KR
RN,RATNAGIRI,KR
ROHA,ROHA,CR
SAPE,SAPE WAMNE,KR
SEN,SENAPURA,KR
SGR,SANGMESHWAR,KR
SHMI,SHIROOR,KR
SL,SURATHKAL,KR
SNDD,SINDHUDURG,KR
SRVX,SURAVALI,KR
SUAL,SAUNDAL,KR
SVX,SAVARDA,KR
SWV,SAWANTWADI ROAD,KR
THVM,THIVIM,KR
TNA,THANE,CR
TOK,THOKUR,KR
UD,UDUPI,KR
UKC,UKSHI,KR
VBW,VAIBHAVWADI RD,KR
VEER,VEER,KR
VEN,VERNA,KR
VID,VILAVADE,KR
VINH,VINHERE,KR
VRLI,VERAVALI,KR
ZARP,ZARAP,KR
