train_no,train_name,type_code
10103,MANDOVI EXPRESS,EXP-TRAINS
10104,MANDOVI EXPRESS,EXP-TRAINS
10105,SINDHUDURG EXP,EXP-TRAINS
10106,SINDHUDURG EXP,EXP-TRAINS
10107,MAO MAQ MEMU EXP,EXP-TRAINS
10108,MAQ MAO MEMU EXP,EXP-TRAINS
10115,BDTS MAO EXPRESS,EXP-TRAINS
10116,MAO BDTS EXPRESS,EXP-TRAINS
11003,TUTARI EXPRESS,EXP-TRAINS
11004,TUTARI EXPRESS,EXP-TRAINS
11204,JP NGP EXP,EXP-TRAINS
11205,LTT KRMR EXPRESS,EXP-TRAINS
12133,MANGALURU EXP,SF-TRAINS
12134,MAJN CSMT SF EX,SF-TRAINS
12431,TVC NZM RAJDHANI,RAJ-TRAINS
12432,TRIVNDRM RJDHNI,RAJ-TRAINS
12449,GOA SMPRK K EXP,SF-TRAINS
12450,GOA SMPRK K EXP,SF-TRAINS
12617,MANGLADWEEP EXP,SF-TRAINS
12618,MNGLA LKSDP EXP,SF-TRAINS
12619,MATSYAGANDHA EXP,SF-TRAINS
12620,MATSYAGANDA EXP,SF-TRAINS
16333,VRL TVC EXPRESS,EXP-TRAINS
16334,VERAVAL EXPRESS,EXP-TRAINS
16345,NETRAVATI EXP,EXP-TRAINS
16346,NETRAVATHI EXP,EXP-TRAINS
16515,YPR KAWR EXPRES,EXP-TRAINS
16516,KAWR YPR EXP,EXP-TRAINS
16585,YPR MRDW EXP,EXP-TRAINS
16586,MRDW SMVB EXP,EXP-TRAINS
16595,PANCHAGANGA EXP,EXP-TRAINS
16596,PANCHAGANGA EXP,EXP-TRAINS
20111,KONKAN KANYA EXP,SF-TRAINS
20112,KONKAN KANYA EXP,SF-TRAINS
20645,MAQ VANDEBHARAT,T18-TRAINS
20646,MAO VANDEBHARAT,T18-TRAINS
20923,GIMB HUMSAFAR,PRM-TRAINS
20934,DNR UDHNA EXP,SF-TRAINS
22114,KCVL LTT SF EXP,SF-TRAINS
22115,LTT KRMI AC SUP,SF-TRAINS
22119,TEJAS EXPRESS,PRM-TRAINS
22120,TEJAS EXPRESS,PRM-TRAINS
22229,MAO VANDE BHARAT,T18-TRAINS
22230,CSMT VANDEBHARAT,T18-TRAINS
22475,HSR CBE AC EXP,SF-TRAINS
22476,CBE HSR AC EXP,SF-TRAINS
22629,DADAR TEN EXP,EXP-TRAINS
22630,TEN DR EXPRESS,EXP-TRAINS
