feature,mean_abs_shap
station_no,8.95153
month,4.8344927
train_no_12134,3.1970994
station_zone_KR,2.686881
day_of_week_Saturday,1.3048366
train_no_12619,1.0689305
train_no_10107,1.0150073
train_no_11003,0.95254296
station_code_BYNR,0.8956158
station_code_MAO,0.8520315
day_of_week_Thursday,0.81999797
train_no_16596,0.705076
train_no_16346,0.6331207
day_of_week_Tuesday,0.6302642
train_no_16345,0.624688
station_code_KKW,0.582196
rain_category_No rain,0.5603445
station_code_THVM,0.54044694
station_zone_SR,0.4896906
train_no_10106,0.48709375
train_no_22120,0.48547477
day_of_week_Wednesday,0.44825888
station_code_KUDL,0.42793065
station_code_KRMI,0.427373
train_no_16595,0.419002
train_no_20112,0.40501514
station_code_SNDD,0.40282053
train_no_12618,0.3947048
train_no_12617,0.38810202
train_no_12133,0.3830874
train_no_16515,0.37741584
train_no_10105,0.36476406
station_code_SL,0.36439094
rain_category_Light,0.36369848
train_no_22229,0.357415
station_code_UD,0.34285071
train_no_22114,0.31135055
day_of_week_Monday,0.2977216
day_of_week_Sunday,0.29119658
rain_category_Very heavy,0.2880464
train_no_20111,0.27073285
train_no_10108,0.26702708
station_code_KUDA,0.23379713
is_monsoon,0.23120153
station_code_ROHA,0.22660875
train_no_10104,0.2226424
station_code_MULK,0.22022428
train_no_10115,0.21797542
station_code_PNVL,0.20420918
station_code_PERN,0.16319871
station_code_VBW,0.16199683
station_code_MRDW,0.1610075
train_no_16586,0.15861858
station_code_SGR,0.15091276
station_code_RAJP,0.14669335
train_no_22230,0.12887275
train_no_16585,0.12769915
rain_category_Unknown,0.12636793
station_code_CHI,0.12609154
station_code_ADVI,0.12014663
train_no_22475,0.11941607
train_no_22119,0.118393935
train_no_16516,0.11536354
station_code_RN,0.112341635
train_no_11004,0.10835586
station_code_CSMT,0.102798015
train_no_10116,0.095031545
rain_category_Moderate,0.08771757
train_no_16333,0.079194166
train_no_12432,0.07807257
train_no_12620,0.07495031
station_code_BKJ,0.07418328
station_code_MAJN,0.07385162
station_code_MNI,0.07191602
station_code_BTJL,0.06877155
train_no_12450,0.058121227
train_no_12431,0.055550456
station_code_TNA,0.054776505
station_code_NIV,0.05189508
station_code_SUAL,0.049107246
train_no_22630,0.041033544
station_code_SWV,0.04100838
train_no_16334,0.034645025
train_no_22629,0.029857941
station_code_GNO,0.02983822
station_code_KYN,0.029837176
station_code_KAWR,0.027866507
station_code_KHED,0.026996685
train_no_22115,0.025131239
station_code_KOL,0.02442344
train_no_20646,0.021568818
station_code_VEER,0.01627263
station_code_MAQ,0.015237468
station_code_SEN,0.010914881
station_code_PDD,0.0108851865
station_code_VID,0.010861728
train_no_20923,0.010483861
station_code_VRLI,0.009988536
station_code_BDTS,0.0096663525
station_code_SAPE,0.009628864
station_code_DR,0.009619194
station_code_VINH,0.0057247663
station_code_ZARP,0.005540254
station_code_KFD,0.004982727
station_code_AT,0.003948607
station_code_NAN,0.0033099812
train_no_22476,0.0028915724
station_code_ANO,0.002598674
station_code_KT,0.0023460614
train_no_12449,0.0016488796
station_code_ANKL,0.00082631665
station_code_HNA,0.0005976139
station_code_BVI,0.00033939726
station_code_AVRD,0.00014706275
station_code_SVX,6.0570736e-05
station_code_GOK,1.6506232e-05
station_code_HAA,0.0
station_code_KRPN,0.0
station_code_SHMI,0.0
station_code_MANK,0.0
station_code_MRJN,0.0
station_code_PEN,0.0
station_code_APTA,0.0
station_code_CNO,0.0
train_no_20645,0.0
station_zone_WR,0.0
